first_name,last_name,album_title,notes
Frank,Zappa,Chunga's Revenge,
Frank,Zappa,Freak Out!,
Frank,Zappa,200 Motels,Bootleg
Frank,Zappa,Uncle Meat,
Frank,Zappa,Zoot Allures,
Frank,Zappa,Roxy & Elsewhere,
Frank,Zappa,Joe's Garage Act I,
Frank,Zappa,Just Another Band From L.A.,
Frank,Zappa,We're Only In It For the Money,
Frank,Zappa,Apostrophe,
Frank,Zappa,Fillmore East / June 1971,
Frank,Zappa,Sleep Dirt,
Frank,Zappa,Sheik Yerbouti,
Frank,Zappa,Orchestral Favorites,
Frank,Zappa,Weasels Ripped My Flesh,
Frank,Zappa,Joe's Garage Acts II & III,
Frank,Zappa,Studio Tan,
Frank,Zappa,Absolutely Free,
Frank,Zappa,200 Motels,
Warren,Zevon,Excitable Boy,
Warren,Zevon,Bad Luck Streak in Dancing School,
