"Moonlight Sonata","",87
"Santana","",88
"Peter Serkin Plays Chopin","",89
"Music","",90
"1000 Forms of Fear","",90
"Bridge Over Troubled Water","",91
"Parsley, Sage, Rosemary, and Thyme","",91
"Still Crazy After All These Years","",92
"There Goes Rhymin' Simon","",92
"Louder Than Bombs","",93
"The Family That Plays Together","",94
"Gaucho","",95
"Katy Lied","",95
"Aja","",95
"Greatest Hits","",95
title,notes,artist_id
"Greatest Hits","",96
"Foreigner","",96
"Currents","",97
"At the Candlelight Café","",98
"Best of Traffic","",99
"John Barleycorn Must Die","",99
"Happy Together","",100
"The Greatest Jazz Concert in the World","",101
"Dances of the Renaissance","",101
"Gothic and Renaissance Dances","",101
"West Side Story Soundtrack","",101
"20 Rockin' Originals","",101
"West Side Story Movie Soundtrack","",101
"The Sound of Music Soundtrack","",101
"Bach: The Complete Flute Sonatas","",101
"Small Change","",102
"Nighthawks at the Diner","",102
"Who's Next","",103
"Vaughan Williams Concert","",104
"In 3-D","",105
"Hot Rats","",106
"The Grand Wazoo","",106
"Overnite Sensation","",106
"Lumpy Gravy","",106
"Waka/Jawaka","",106
"In New York","",106
"You Are What You Is","",106
"Bongo Fury","",106
"The Man From Utopia","",106
"Burnt Weeny Sandwich","",106
"One Size Fits All","",106
"Chunga's Revenge","",106
"Freak Out!","",106
"200 Motels,Bootleg","",106
"Uncle Meat","",106
"Zoot Allures","",106
"Roxy & Elsewhere","",106
"Joe's Garage Act I","",106
"Just Another Band From L.A.","",106
"We're Only In It For the Money","",106
"Apostrophe","",106
"Fillmore East / June 1971","",106
"Sleep Dirt","",106
"Sheik Yerbouti","",106
"Orchestral Favorites","",106
"Weasels Ripped My Flesh","",106
"Joe's Garage Acts II & III","",106
"Studio Tan","",106
"Absolutely Free","",106
"200 Motels","",106
"Excitable Boy","",107
"Bad Luck Streak in Dancing School","",107
"Greatest Hits","",96
"Foreigner","",96
"Currents","",97
"At the Candlelight Café","",98
"Best of Traffic","",99
"John Barleycorn Must Die","",99
"Happy Together","",100
"The Greatest Jazz Concert in the World","",101
"Dances of the Renaissance","",101
"Gothic and Renaissance Dances","",101
"West Side Story Soundtrack","",101
"20 Rockin' Originals","",101
"West Side Story Movie Soundtrack","",101
"The Sound of Music Soundtrack","",101
"Bach: The Complete Flute Sonatas","",101
"Small Change","",102
"Nighthawks at the Diner","",102
"Who's Next","",103
"Vaughan Williams Concert","",104
"In 3-D","",105
"Hot Rats","",106
"The Grand Wazoo","",106
"Overnite Sensation","",106
"Lumpy Gravy","",106
"Waka/Jawaka","",106
"In New York","",106
"You Are What You Is","",106
"Bongo Fury","",106
"The Man From Utopia","",106
"Burnt Weeny Sandwich","",106
"One Size Fits All","",106
"Chunga's Revenge","",106
"Freak Out!","",106
"200 Motels,Bootleg","",106
"Uncle Meat","",106
"Zoot Allures","",106
"Roxy & Elsewhere","",106
"Joe's Garage Act I","",106
"Just Another Band From L.A.","",106
"We're Only In It For the Money","",106
"Apostrophe","",106
"Fillmore East / June 1971","",106
"Sleep Dirt","",106
"Sheik Yerbouti","",106
"Orchestral Favorites","",106
"Weasels Ripped My Flesh","",106
"Joe's Garage Acts II & III","",106
"Studio Tan","",106
"Absolutely Free","",106
"200 Motels","",106
"Excitable Boy","",107
"Bad Luck Streak in Dancing School","",107
"Easy Living","",108
"Sketches of Spain","",109
"Madman Across the Water","",110
"Honky Chateau","",110
"Tumbleweed Connection","",110
"Elton John","",110
"It's a Beautiful Day","",101
"Uptown Dance","",35
"The George and Ira Gershwin Songbook","",111
"An Evening With Wild Man Fischer","",112
"Chain Reaction","",113
"My God!!","Bootleg",51
"War Child","",51
"Minstrel in the Gallery","",51
"Heavy Horses","",51
"Too Old to Rock'n'Roll: Too Young to Die!","",51
"Heavy Weather","",114
"Black Market","",114
"Silent Feet","",115
"Perfect Angel","",116
"Cold on the Shoulder","",117
"4 Way Street","",118
